"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","945.9","20.7","87","1.1","340","2.8","154","0.0"
"02","945.7","20.1","82","1.8","238","3.8","160","0.0"
"03","946.0","19.9","78","2.4","248","3.9","280","0.0"
"04","946.4","19.9","75","2.5","259","4.7","269","0.0"
"05","947.0","19.7","72","2.8","258","4.6","245","0.0"
"06","947.5","19.7","73","2.8","261","4.6","260","&"
"07","948.3","21.1","69","2.6","265","5.1","243","0.0"
"08","948.4","23.1","63","2.4","250","4.6","258","0.0"
"09","948.6","26.5","65","1.0","43","3.3","17","0.0"
"10","948.3","27.6","68","1.2","33","3.3","82","0.0"
"11","947.7","27.3","67","1.0","324","4.5","88","0.0"
"12","947.0","28.4","61","1.1","340","5.2","85","0.0"
"13","946.1","28.6","57","1.4","79","7.5","90","0.0"
"14","945.7","27.5","71","0.9","5","6.5","90","0.0"
"15","945.6","26.2","74","1.5","63","5.2","87","0.0"
"16","945.6","25.6","76","0.5","40","5.0","86","0.0"
"17","945.6","24.2","82","0.3","83","2.6","97","0.0"
"18","946.2","22.8","90","0.0","0","1.0","98","0.0"
"19","946.8","22.1","91","0.4","171","1.5","97","0.0"
"20","947.4","22.0","92","0.0","0","0.9","169","0.0"
"21","947.8","21.7","90","1.0","101","1.6","117","0.0"
"22","947.9","21.8","92","0.1","0","1.9","92","0.0"
"23","947.8","20.7","97","0.0","0","1.3","98","0.0"
"24","947.5","20.7","92","0.9","87","1.5","78","0.0"
